121,3,196.94,174.65,188.51,110.17,0.08,100
220,7,210.39,174.75,206.77,127.26,0.07,100
315,10,329.61,208.85,287.27,138.82,0.08,200
408,14,347.57,225.91,347.57,145.49,0.08,200
496,18,347.57,225.91,270.18,143.01,0.08,200
585,21,347.57,242.46,282.04,152.59,0.08,300
670,25,379.78,264.90,288.30,153.16,0.08,300
754,29,379.78,264.90,303.13,160.83,0.07,300
836,32,433.63,264.90,284.85,147.58,0.07,400
922,36,433.63,264.90,278.69,151.02,0.08,400
1007,40,433.63,264.90,299.98,154.04,0.08,500
1093,43,433.63,264.90,276.57,157.17,0.08,500
1180,47,433.63,264.90,269.23,159.27,0.08,500
1267,51,486.42,266.11,315.87,158.86,0.08,600
1353,54,486.42,266.11,285.21,145.86,0.08,600
1442,58,486.42,266.11,261.02,147.83,0.08,600
1530,62,486.42,266.11,277.78,150.95,0.07,700
1619,65,486.42,266.11,264.79,139.64,0.07,700
1705,69,486.42,266.11,369.09,142.59,0.08,700
1791,72,486.42,266.11,319.41,148.29,0.08,800
1877,76,486.42,310.58,301.52,148.55,0.08,800
1964,80,486.42,310.58,277.61,141.33,0.07,800
2053,83,486.42,310.58,317.50,143.41,0.08,900
2141,87,486.42,310.58,300.70,158.49,0.08,900
2229,90,486.42,310.58,288.13,153.46,0.08,1000
2315,94,486.42,310.58,308.26,146.22,0.07,1000
2402,97,486.42,310.58,298.54,148.26,0.07,1000
2452,100,486.42,310.58,335.35,141.37,0.07,1000
