720,2,105.43,87.40,86.45,65.47,0.15,100
1407,5,163.68,133.85,140.00,84.57,0.15,200
1907,8,286.00,218.80,210.75,112.00,0.18,200
2346,11,466.77,395.59,354.13,154.80,0.18,300
2703,14,466.77,395.59,409.08,203.79,0.17,300
3002,17,635.03,557.60,582.30,391.07,0.17,400
3262,20,790.40,694.76,753.20,431.20,0.18,500
3482,24,839.56,726.47,751.94,328.41,0.17,500
3723,27,1064.79,939.49,708.09,224.35,0.17,600
3917,30,1191.13,1071.50,942.98,462.44,0.17,700
4084,34,1226.28,1120.25,1206.32,653.66,0.17,700
4161,36,1402.87,1275.34,1308.20,784.39,0.17,800
4217,37,1402.87,1314.20,1320.46,934.98,0.17,800
4270,38,1430.82,1369.46,1402.16,746.45,0.17,800
4326,40,1652.29,1547.35,1594.63,931.14,0.17,900
4385,42,1694.08,1588.77,1558.84,918.05,0.17,900
4449,43,1694.08,1588.77,1621.37,880.88,0.17,900
4510,45,1837.98,1588.77,1747.48,798.89,0.17,1000
4577,46,1837.98,1594.39,1455.78,638.91,0.17,1000
4641,48,1837.98,1594.39,1588.00,730.66,0.17,1000
4693,49,1837.98,1594.39,1550.37,828.24,0.17,1000
4695,50,1837.98,1594.39,1487.49,916.94,0.17,1000
