19,0,132.10,125.47,132.10,105.86,0.17 
33,0,154.85,153.42,153.09,137.23,0.18 
47,0,162.21,153.76,158.47,143.72,0.18 
61,0,165.07,160.53,161.55,150.51,0.18 
75,0,165.58,160.53,162.77,144.44,0.18 
89,0,168.18,161.38,163.81,151.25,0.18 
104,0,169.58,165.48,169.58,152.37,0.18 
118,0,169.58,166.69,167.07,152.73,0.18 
132,0,169.94,167.71,166.84,158.37,0.18 
146,0,170.99,167.71,167.61,160.77,0.17 
160,0,171.88,168.81,171.88,156.49,0.17 
174,0,171.89,168.81,171.07,158.29,0.17 
189,0,173.26,168.81,171.24,154.31,0.17 
204,0,174.58,168.81,171.85,162.09,0.17 
219,0,174.73,168.81,171.47,162.87,0.17 
233,0,176.21,169.45,172.83,155.91,0.17 
247,0,176.21,170.30,173.52,163.42,0.18 
261,1,176.89,170.30,172.55,164.14,0.18 
275,1,176.89,171.47,174.04,161.98,0.18 
289,1,180.31,173.68,176.35,165.49,0.17 
303,1,180.31,174.20,178.11,166.72,0.18 
317,1,180.31,174.97,175.30,163.09,0.18 
331,1,180.31,175.24,176.98,164.25,0.18 
345,1,180.31,176.02,176.66,164.02,0.18 
359,1,180.31,176.02,174.75,164.54,0.18 
373,1,183.11,177.49,181.37,165.84,0.18 
387,1,186.25,180.07,184.82,159.12,0.17 
401,1,186.96,181.44,182.69,165.29,0.17 
415,1,190.41,183.87,186.43,166.26,0.17 
429,1,193.18,188.26,193.12,177.07,0.17 
443,1,204.28,196.76,200.54,184.73,0.17 
457,1,206.59,199.99,201.91,181.63,0.17 
471,1,209.35,199.99,209.35,179.92,0.17 
485,1,209.35,205.37,203.13,182.93,0.17 
499,2,212.60,206.04,205.97,190.83,0.17 
514,2,212.60,213.42,206.23,180.46,0.17 
528,2,212.60,213.42,202.01,182.60,0.17 
542,2,212.60,213.42,209.99,190.53,0.17 
556,2,212.60,213.42,208.81,191.64,0.17 
570,2,212.60,213.42,211.85,193.36,0.17 
585,2,222.59,213.42,222.59,193.93,0.17 
599,2,226.23,215.38,226.23,198.50,0.17 
614,2,230.83,217.03,224.34,189.25,0.17 
629,2,233.53,220.97,221.87,198.14,0.17 
644,2,236.45,224.51,225.95,193.06,0.17 
659,2,236.45,229.52,230.83,187.29,0.17 
674,2,236.45,229.52,224.01,210.24,0.17 
689,2,236.45,229.52,224.39,182.28,0.17 
704,2,236.45,229.52,222.91,186.87,0.17 
719,2,236.45,229.52,225.15,189.54,0.17 
733,2,236.45,229.52,221.26,202.93,0.17 
748,2,236.45,229.52,223.75,204.07,0.17 
762,3,236.45,229.52,225.63,191.84,0.17 
777,3,236.45,233.51,229.43,196.27,0.16 
792,3,236.45,233.51,233.36,202.75,0.16 
807,3,237.10,233.51,237.10,202.44,0.16 
822,3,237.10,233.51,228.23,199.85,0.16 
837,3,237.10,233.51,233.78,191.15,0.16 
852,3,237.10,233.51,221.03,198.69,0.16 
866,3,237.10,233.51,227.71,201.27,0.16 
881,3,237.10,233.51,231.83,194.49,0.16 
896,3,237.10,233.51,229.72,191.78,0.16 
911,3,237.10,233.51,235.60,193.78,0.16 
926,3,241.16,233.51,230.85,203.83,0.16 
941,3,241.16,233.51,230.29,197.71,0.16 
