48,1,167.25,89.66,156.00,85.97,0.09,100
88,2,178.47,99.42,167.78,100.31,0.09,100
127,3,195.33,116.25,190.66,115.97,0.08,100
165,5,200.65,131.67,191.47,117.63,0.07,100
202,6,200.65,131.67,188.84,120.41,0.07,100
239,7,208.19,131.67,193.74,121.01,0.07,100
275,9,208.19,131.67,195.58,118.29,0.08,100
311,10,208.19,133.80,195.20,124.88,0.07,100
348,11,214.85,146.35,209.08,125.78,0.07,100
384,13,215.05,146.35,208.12,132.83,0.07,100
420,14,215.05,146.35,201.88,125.04,0.07,100
457,15,215.05,146.35,200.25,132.14,0.07,100
492,17,216.60,146.35,199.13,128.75,0.07,100
527,18,219.39,146.35,205.32,124.88,0.07,100
563,19,219.39,146.35,190.12,119.66,0.07,100
599,20,219.39,146.35,201.51,119.32,0.07,100
636,22,219.39,147.96,202.17,120.64,0.07,100
672,23,219.39,174.09,212.13,129.94,0.07,100
707,24,222.03,174.09,217.89,135.78,0.07,100
744,26,230.87,187.52,222.11,142.26,0.07,100
833,29,233.13,187.52,223.39,143.12,0.07,100
920,33,233.13,187.52,225.79,146.63,0.08,100
1006,36,235.53,187.52,222.79,150.75,0.08,100
1091,40,235.93,187.52,232.22,157.74,0.08,100
1178,43,240.24,194.68,224.29,152.10,0.07,100
1263,47,240.24,194.68,225.62,151.87,0.07,100
1349,50,240.24,194.68,220.13,141.71,0.07,100
1437,54,240.24,194.68,220.93,132.32,0.07,100
1523,57,240.24,194.68,230.82,154.35,0.07,100
1610,61,240.24,194.68,216.55,142.76,0.08,100
1695,64,240.24,194.68,220.80,140.57,0.08,100
1781,68,240.24,194.68,228.80,156.46,0.08,100
1868,71,240.24,194.68,220.25,146.19,0.08,100
1955,75,240.24,194.68,229.83,156.52,0.08,100
2041,79,240.24,194.68,228.26,150.23,0.08,100
2125,82,240.24,194.68,226.90,159.89,0.07,100
2210,86,240.24,194.68,237.84,154.75,0.07,100
2297,89,240.24,194.68,227.35,144.81,0.07,100
2382,93,241.22,194.68,232.42,160.07,0.07,100
2468,96,243.28,194.68,229.12,148.51,0.08,100
2553,100,243.28,194.68,230.19,149.83,0.07,100
