51,1,196.98,85.11,172.52,85.36,0.09,1000
95,2,256.53,99.48,186.76,100.15,0.08,1000
134,3,298.78,112.67,246.49,119.52,0.08,1000
171,5,298.78,130.81,234.60,124.12,0.07,1000
208,6,306.11,156.61,266.19,122.49,0.07,1000
244,7,335.17,156.61,247.12,126.71,0.07,1000
278,9,335.17,156.61,283.60,125.32,0.08,1000
314,10,335.17,156.61,212.22,120.17,0.08,1000
350,11,351.58,161.00,221.19,121.13,0.08,1000
385,13,351.58,182.34,273.78,137.51,0.08,1000
420,14,431.76,186.03,238.70,133.69,0.08,1000
456,15,431.76,186.03,222.44,128.35,0.08,1000
491,17,431.76,186.03,276.83,130.12,0.07,1000
527,18,431.76,186.03,228.36,119.28,0.08,1000
563,20,431.76,186.17,296.96,133.59,0.08,1000
