120,3,189.52,122.35,183.97,103.52,0.08,100
223,7,207.49,146.67,206.61,126.57,0.07,100
327,10,317.94,165.64,224.56,116.73,0.07,200
429,14,319.76,165.64,217.60,119.99,0.07,200
530,18,326.81,175.72,274.31,124.85,0.07,200
630,21,326.81,189.72,234.32,114.75,0.07,300
730,25,390.05,189.72,230.10,131.73,0.07,300
828,28,390.05,189.72,291.26,126.42,0.08,300
917,32,390.05,189.72,264.30,142.80,0.08,400
1006,36,390.05,189.87,254.08,141.23,0.08,400
1097,39,400.94,189.87,281.48,143.60,0.08,400
1189,43,434.07,207.31,325.12,142.52,0.08,500
1282,47,434.07,207.31,258.80,140.89,0.08,500
1374,50,434.07,207.31,295.14,143.66,0.08,600
1461,54,434.07,207.31,370.48,148.15,0.08,600
1548,58,434.07,218.34,338.17,152.53,0.08,600
1635,61,440.62,235.02,379.12,155.21,0.07,700
1723,65,490.30,235.02,280.72,147.89,0.07,700
1815,69,490.30,235.02,305.34,141.91,0.07,700
1906,72,490.30,235.02,279.63,137.56,0.07,800
1995,76,490.30,235.02,263.16,157.94,0.08,800
2081,79,490.30,235.02,270.37,145.73,0.08,800
2169,83,490.30,235.02,283.07,151.46,0.08,900
2256,87,490.30,235.02,324.50,163.60,0.07,900
2341,90,490.30,235.02,314.04,144.82,0.08,1000
2428,94,490.30,235.02,281.43,141.37,0.08,1000
2512,98,490.30,235.02,306.17,150.87,0.08,1000
2553,100,490.30,235.02,348.31,154.25,0.08,1000
