121,3,249.33,89.81,190.83,104.11,0.08,200
229,7,307.80,93.11,247.28,118.67,0.07,200
330,10,321.59,104.73,232.07,124.16,0.07,200
431,14,326.99,113.00,253.15,120.81,0.08,200
529,17,326.99,124.44,223.23,126.17,0.08,200
625,21,326.99,139.20,262.15,124.25,0.08,200
714,25,352.64,165.64,346.63,147.40,0.08,200
795,28,352.64,184.67,272.87,150.60,0.08,200
875,32,393.33,203.39,267.48,145.97,0.08,200
957,35,393.33,203.39,329.83,162.63,0.08,200
1036,39,393.33,203.39,298.00,148.37,0.08,200
1115,43,393.33,205.44,276.87,142.81,0.08,200
1193,46,393.33,205.44,306.57,157.33,0.08,200
1270,50,393.33,205.44,326.90,146.40,0.08,1000
1350,54,399.12,205.44,307.41,151.51,0.08,1000
1429,57,416.71,205.44,345.28,159.50,0.08,1000
1506,61,416.71,205.44,363.76,152.57,0.08,1000
1581,64,416.71,205.44,347.24,143.68,0.08,1000
1658,68,418.35,205.44,290.00,136.49,0.08,1000
1739,71,422.77,205.44,253.27,138.97,0.08,1000
1817,75,422.77,205.44,318.96,141.77,0.08,1000
1895,79,497.01,205.44,385.21,157.30,0.08,1000
1970,82,497.01,205.44,316.20,163.73,0.08,1000
2046,86,497.01,205.44,319.53,156.02,0.08,1000
2122,89,497.01,205.44,375.20,150.30,0.08,1000
2202,93,497.01,205.44,309.34,146.09,0.08,1000
2280,97,497.01,205.44,388.15,160.97,0.08,1000
2342,100,497.01,224.42,322.58,160.05,0.08,1000
